,종목코드,종목명
112,192080,더블유게임즈
113,23590,다우기술
114,272450,진에어
115,192820,코스맥스
116,9970,영원무역홀딩스
117,3240,태광산업
118,214320,이노션
119,300720,한일시멘트
120,2840,미원상사
121,5250,녹십자홀딩스
122,73240,금호타이어
123,249420,일동제약
124,1680,대상
125,9900,명신산업
126,16380,KG스틸
127,298040,효성중공업
128,5420,코스모화학
129,403550,쏘카
130,5880,대한해운
131,5690,파미셀
132,20000,한섬
133,13890,지누스
134,284740,쿠쿠홈시스
135,57050,현대홈쇼핑
136,640,동아쏘시오홀딩스
137,3850,보령
138,3000,부광약품
139,105630,한세실업
140,64960,SNT모티브
141,192650,드림텍
142,195870,해성디에스
143,2350,넥센타이어
144,3520,영진약품
145,4490,세방전지
146,70,삼양홀딩스
147,192400,쿠쿠홀딩스
148,4360,세방
149,241590,화승엔터프라이즈
150,381970,케이카
151,11000,진원생명과학
152,18250,애경산업
153,14830,유니드
154,36420,콘텐트리중앙
155,363280,티와이홀딩스
156,170900,동아에스티
157,5950,이수화학
158,97520,엠씨넥스
159,9450,경동나비엔
160,17960,한국카본
161,3070,코오롱글로벌
162,6110,삼아알미늄
163,4890,동일산업
164,2240,고려제강
165,7460,에이프로젠
166,58650,세아홀딩스
167,161000,애경케미칼
168,33240,자화전자
169,17810,풀무원
170,25860,남해화학
171,4430,송원산업
172,3220,대원제약
173,145990,삼양사
174,91810,티웨이항공
175,226320,잇츠한불
176,102460,이연제약
177,8490,서흥
178,5180,빙그레
179,7690,국도화학
180,7570,일양약품
181,306200,세아제강
182,286940,롯데정보통신
183,183190,아세아시멘트
184,5500,삼진제약
185,7660,이수페타시스
186,2310,아세아제지
187,3920,남양유업
188,16800,퍼시스
189,16590,신대양제지
190,6390,한일현대시멘트
191,122900,아이마켓코리아
192,20120,키다리스튜디오
193,3300,한일홀딩스
194,138490,코오롱플라스틱
195,16580,환인제약
196,4700,조광피혁
197,29530,신도리코
198,97230,HJ중공업
199,3280,흥아해운
200,293480,하나제약
201,11930,신성이엔지
202,298690,에어부산
203,298000,효성화학
204,213500,한솔제지
205,115390,락앤락
206,2320,한진
207,126720,수산인더스트리
208,9290,광동제약
209,490,대동
210,77970,STX엔진
211,271980,제일약품
212,281820,케이씨텍
213,72710,농심홀딩스
214,9160,SIMPAC
215,2960,한국쉘석유
216,18470,조일알미늄
217,50,경방
218,5810,풍산홀딩스
219,272550,삼양패키징
220,75580,세진중공업
221,24720,한국콜마홀딩스
222,71840,롯데하이마트
223,2030,아세아
224,5010,휴스틸
225,7810,코리아써키트
226,84690,대상홀딩스
227,95720,웅진씽크빅
228,2150,도화엔지니어링
229,2020,코오롱
230,126560,현대퓨처넷
231,74610,이엔플러스
232,8350,남선알미늄
233,6740,영풍제지
234,1070,대한방직
235,95570,AJ네트웍스
236,84010,대한제강
237,1630,종근당홀딩스
238,9680,모토닉
239,2990,금호건설
240,20,동화약품
241,104700,한국철강
242,37710,광주신세계
243,36530,SNT홀딩스
244,107590,미원홀딩스
245,1940,KISCO홀딩스
246,10690,화신
247,117580,대성에너지
248,3960,사조대림
249,55490,테이팩스
250,3200,일신방직
251,2620,제일파마홀딩스
252,139990,아주스틸
253,1470,삼부토건
254,68290,삼성출판사
255,214390,경보제약
256,1520,동양
257,2710,TCC스틸
258,102260,동성케미컬
259,4980,성신양회
260,317400,자이에스앤디
261,12320,경동인베스트
262,1780,알루코
263,230,일동홀딩스
264,15230,대창단조
265,29460,케이씨
266,2390,한독
267,2810,삼영무역
268,339770,교촌에프앤비
269,83420,그린케미칼
270,1790,대한제당
271,77500,유니퀘스트
272,140,하이트진로홀딩스
273,7160,사조산업
274,3120,일성신약
275,1130,대한제분
276,19680,대교
277,136490,선진
278,5720,넥센
279,11760,현대코퍼레이션
280,84680,이월드
281,200880,서연이화
282,8060,대덕
283,430,대원강업
284,11280,태림포장
285,71970,STX중공업
286,2100,경농
287,103590,일진전기
288,23450,동남합성
289,10580,에스엠벡셀
290,1340,백광산업
291,58430,포스코스틸리온
292,101530,해태제과식품
293,35150,백산
294,15890,태경산업
295,15360,예스코홀딩스
296,15860,일진홀딩스
297,31440,신세계푸드
298,2780,진흥기업
299,16450,한세예스24홀딩스
300,14280,금강공업
301,4970,신라교역
302,1360,삼성제약
303,214330,금호에이치티
304,194370,제이에스코퍼레이션
305,79430,현대리바트
306,2210,동성제약
307,128820,대성산업
308,28100,동아지질
309,105840,우진
310,12610,경인양행
311,100250,진양홀딩스
312,79980,휴비스
313,700,유수홀딩스
314,5960,동부건설
315,14160,대영포장
316,4710,한솔테크닉스
317,7860,서연
318,372910,한컴라이프케어
319,248170,샘표식품
320,9270,신원
321,2170,삼양통상
322,10820,퍼스텍
323,11810,STX
324,9410,태영건설
325,4560,현대비앤지스틸
326,11500,한농화성
327,3830,대한화섬
328,90350,노루페인트
329,24090,디씨엠
330,33530,세종공업
331,134380,미원화학
332,267290,경동도시가스
333,19440,세아특수강
