,종목코드,종목명
184,005500,삼진제약
185,007660,이수페타시스
186,002310,아세아제지
187,003920,남양유업
188,016800,퍼시스
189,016590,신대양제지
190,006390,한일현대시멘트
191,122900,아이마켓코리아
192,020120,키다리스튜디오
193,003300,한일홀딩스
194,138490,코오롱플라스틱
195,016580,환인제약
196,004700,조광피혁
197,029530,신도리코
198,097230,HJ중공업
199,003280,흥아해운
200,293480,하나제약
201,011930,신성이엔지
202,298690,에어부산
203,298000,효성화학
204,213500,한솔제지
205,115390,락앤락
206,002320,한진
207,126720,수산인더스트리
208,009290,광동제약
209,000490,대동
210,077970,STX엔진
211,271980,제일약품
212,281820,케이씨텍
213,072710,농심홀딩스
214,009160,SIMPAC
215,002960,한국쉘석유
216,018470,조일알미늄
217,000050,경방
218,005810,풍산홀딩스
219,272550,삼양패키징
220,075580,세진중공업
221,024720,한국콜마홀딩스
222,071840,롯데하이마트
223,002030,아세아
224,005010,휴스틸
225,007810,코리아써키트
226,084690,대상홀딩스
227,095720,웅진씽크빅
228,002150,도화엔지니어링
229,002020,코오롱
230,126560,현대퓨처넷
231,074610,이엔플러스
232,008350,남선알미늄
233,006740,영풍제지
234,001070,대한방직
235,095570,AJ네트웍스
236,084010,대한제강
237,001630,종근당홀딩스
238,009680,모토닉
239,002990,금호건설
240,000020,동화약품
241,104700,한국철강
242,037710,광주신세계
243,036530,SNT홀딩스
244,107590,미원홀딩스
245,001940,KISCO홀딩스
246,010690,화신
247,117580,대성에너지
248,003960,사조대림
249,055490,테이팩스
250,003200,일신방직
251,002620,제일파마홀딩스
252,139990,아주스틸
253,001470,삼부토건
254,068290,삼성출판사
255,214390,경보제약
256,001520,동양
257,002710,TCC스틸
258,102260,동성케미컬
259,004980,성신양회
260,317400,자이에스앤디
261,012320,경동인베스트
262,001780,알루코
263,000230,일동홀딩스
264,015230,대창단조
265,029460,케이씨
266,002390,한독
267,002810,삼영무역
268,339770,교촌에프앤비
269,083420,그린케미칼
270,001790,대한제당
271,077500,유니퀘스트
272,000140,하이트진로홀딩스
273,007160,사조산업
274,003120,일성신약
275,001130,대한제분
276,019680,대교
277,136490,선진
278,005720,넥센
279,011760,현대코퍼레이션
280,084680,이월드
281,200880,서연이화
282,008060,대덕
283,000430,대원강업
284,011280,태림포장
285,071970,STX중공업
286,002100,경농
287,103590,일진전기
288,023450,동남합성
289,010580,에스엠벡셀
290,001340,백광산업
291,058430,포스코스틸리온
292,101530,해태제과식품
293,035150,백산
294,015890,태경산업
295,015360,예스코홀딩스
296,015860,일진홀딩스
297,031440,신세계푸드
298,002780,진흥기업
299,016450,한세예스24홀딩스
300,014280,금강공업
301,004970,신라교역
302,001360,삼성제약
303,214330,금호에이치티
304,194370,제이에스코퍼레이션
305,079430,현대리바트
306,002210,동성제약
307,128820,대성산업
308,028100,동아지질
309,105840,우진
310,012610,경인양행
311,100250,진양홀딩스
312,079980,휴비스
