,종목코드,시가총액,연도,종목명,기업구분
266,000850,121000000000,2015,화천기공,S
267,006490,118704551175,2015,인스코비,S
268,008250,118575091250,2015,이건산업,S
269,003080,118118000000,2015,성보화학,S
270,075580,117750114000,2015,세진중공업,S
271,047400,117600000000,2015,유니온머티리얼,S
272,014530,114371697600,2015,극동유화,S
273,035150,114345000000,2015,백산,S
274,014710,114331125520,2015,사조씨푸드,S
275,008700,112602237200,2015,아남전자,S
276,009270,112363481750,2015,신원,S
277,008040,112110200280,2015,사조동아원,S
278,002210,110679494640,2015,동성제약,S
279,002100,110411007500,2015,경농,S
280,008970,110367221520,2015,동양철관,S
281,003960,109674580000,2015,사조대림,S
282,006880,108234050700,2015,신송홀딩스,S
283,002920,107682125000,2015,유성기업,S
284,058430,107400000000,2015,포스코스틸리온,S
285,001020,107032629600,2015,페이퍼코리아,S
286,005010,106546701800,2015,휴스틸,S
287,000300,104863425940,2015,대유플러스,S
288,016380,104802557120,2015,KG스틸,S
289,006380,104400000000,2015,카프로,S
290,000950,102984000000,2015,전방,S
291,011810,102636803850,2015,STX,S
292,000650,102475074000,2015,천일고속,S
293,077500,102461990565,2015,유니퀘스트,S
294,017040,102276771400,2015,광명전기,S
295,007110,99919026900,2015,일신석재,S
296,012800,99343143910,2015,대창,S
297,002600,98400000000,2015,조흥,S
298,016590,98278619800,2015,신대양제지,S
299,014440,96400000000,2015,영보화학,S
300,004450,95654427600,2015,삼화왕관,S
301,011420,95184020020,2015,갤럭시아에스엠,S
302,084670,94676400000,2015,동양고속,S
303,004080,93120000000,2015,신흥,S
304,005430,92615883750,2015,한국공항,S
305,000590,91550422600,2015,CS홀딩스,S
306,001210,91291873200,2015,금호전기,S
307,028100,90505000000,2015,동아지질,S
308,013870,89639716000,2015,지엠비코리아,S
309,009770,89498961800,2015,삼정펄프,S
310,010960,89375000000,2015,삼호개발,S
311,007590,88786602040,2015,동방아그로,S
312,002700,88098926040,2015,신일전자,S
313,001340,87815485685,2015,백광산업,S
314,071950,87493056400,2015,코아스,S
315,000500,86535217600,2015,가온전선,S
316,015230,85600000000,2015,대창단조,S
317,023800,85199919360,2015,인지컨트롤스,S
318,000220,85027402800,2015,유유제약,S
319,006660,84919981300,2015,삼성공조,S
320,005360,84470962290,2015,모나미,S
321,027740,83881246550,2015,마니커,S
322,083420,82400000000,2015,그린케미칼,S
323,012170,80517083595,2015,아센디오,S
324,009460,79059418950,2015,한창제지,S
325,005960,78615611580,2015,동부건설,S
