,종목코드,시가총액,연도,종목명,기업구분
196,016710,172157211300,2014,대성홀딩스,S
197,012610,172088514900,2014,경인양행,S
198,015890,169526750000,2014,태경산업,S
199,006370,169358212150,2014,대구백화점,S
200,023000,165000000000,2014,삼원강재,S
201,071970,161175713970,2014,STX중공업,S
202,009420,160526353920,2014,한올바이오파마,S
203,003230,160076568750,2014,삼양식품,S
204,004890,159579147000,2014,동일산업,S
205,011280,157897246200,2014,태림포장,S
206,025620,156600050775,2014,제이준코스메틱,S
207,069640,155699548900,2014,한세엠케이,S
208,002780,155674484685,2014,진흥기업,S
209,000020,155578287900,2014,동화약품,S
210,002460,150032140000,2014,화성산업,S
211,007860,149887733600,2014,서연,S
212,007540,149318400000,2014,샘표,S
213,009160,148914816000,2014,SIMPAC,S
214,002150,145333200000,2014,도화엔지니어링,S
215,000850,142340000000,2014,화천기공,S
216,002840,141714009000,2014,미원상사,S
217,084010,140486383800,2014,대한제강,S
218,004910,140160000000,2014,조광페인트,S
219,002880,139861277150,2014,대유에이텍,S
220,012160,139532779560,2014,영흥,S
221,005950,139335360000,2014,이수화학,S
222,041650,138276138000,2014,상신브레이크,S
223,084680,136944543680,2014,이월드,S
224,009270,136418762350,2014,신원,S
225,008250,136082236050,2014,이건산업,S
226,002920,135445950000,2014,유성기업,S
227,008350,134418489800,2014,남선알미늄,S
228,012200,133986000000,2014,계양전기,S
229,034590,132000000000,2014,인천도시가스,S
230,077500,131483459250,2014,유니퀘스트,S
231,005430,130295508250,2014,한국공항,S
232,016090,129507406600,2014,대현,S
233,011000,128577051900,2014,진원생명과학,S
234,004960,125341146150,2014,한신공영,S
235,001210,124834720550,2014,금호전기,S
236,025750,123868093000,2014,한솔홈데코,S
237,016590,123537898100,2014,신대양제지,S
238,005010,123151382600,2014,휴스틸,S
239,013870,121108978000,2014,지엠비코리아,S
240,034300,119400000000,2014,신세계건설,S
241,078000,119343283800,2014,텔코웨어,S
242,083420,119000000000,2014,그린케미칼,S
243,006490,118146370320,2014,인스코비,S
244,063160,115048758000,2014,종근당바이오,S
245,092200,113708000000,2014,디아이씨,S
246,091090,113688192840,2014,세원이앤씨,S
247,006380,113600000000,2014,카프로,S
248,004540,112091640800,2014,깨끗한나라,S
249,009180,110407939600,2014,한솔로지스틱스,S
250,003070,110302402100,2014,코오롱글로벌,S
251,014710,110026489770,2014,사조씨푸드,S
252,035150,109626000000,2014,백산,S
253,000300,108388246980,2014,대유플러스,S
254,005800,103050000000,2014,신영와코루,S
255,016880,101724725025,2014,웅진,S
256,000500,101720484150,2014,가온전선,S
257,002100,101300472500,2014,경농,S
258,001020,100775280890,2014,페이퍼코리아,S
259,011810,100727755500,2014,STX,S
260,017040,99459826425,2014,광명전기,S
261,009770,98498857400,2014,삼정펄프,S
262,002700,97651416840,2014,신일전자,S
263,006880,97469789920,2014,신송홀딩스,S
264,003830,97076800000,2014,대한화섬,S
265,012690,96730969475,2014,모나리자,S
266,000590,96399247000,2014,CS홀딩스,S
267,006660,95890505200,2014,삼성공조,S
268,007110,95271630300,2014,일신석재,S
269,015020,94487778000,2014,이스타코,S
270,017900,94448333690,2014,광전자,S
271,002210,92942784200,2014,동성제약,S
272,006390,92364764700,2014,한일현대시멘트,S
273,047400,91980000000,2014,유니온머티리얼,S
274,084670,91228800000,2014,동양고속,S
275,010820,90957613800,2014,퍼스텍,S
276,011090,90887336115,2014,에넥스,S
277,006980,89455500000,2014,우성,S
278,007590,87833371650,2014,동방아그로,S
279,008970,87560710800,2014,동양철관,S
280,028100,87285000000,2014,동아지질,S
281,003080,86986900000,2014,성보화학,S
282,009200,86963457900,2014,무림페이퍼,S
283,024900,86948496600,2014,덕양산업,S
284,015230,86700000000,2014,대창단조,S
285,014160,86630633760,2014,대영포장,S
286,000890,85675723695,2014,보해양조,S
287,016380,85212356420,2014,KG스틸,S
288,014530,83860955100,2014,극동유화,S
289,004080,81888000000,2014,신흥,S
290,058430,80400000000,2014,포스코스틸리온,S
291,012800,80112498621,2014,대창,S
292,012170,79696559250,2014,아센디오,S
293,024890,79298080160,2014,대원화성,S
294,014990,78380883350,2014,인디에프,S
295,010960,77500000000,2014,삼호개발,S
296,017550,76432643850,2014,수산중공업,S
297,014440,75300000000,2014,영보화학,S
298,004450,75295546050,2014,삼화왕관,S
299,001340,74438809785,2014,백광산업,S
300,023800,74284627200,2014,인지컨트롤스,S
301,090370,73795164000,2014,메타랩스,S
302,000650,73318986000,2014,천일고속,S
303,023810,72900000000,2014,인팩,S
304,010040,72706349760,2014,한국내화,S
305,008600,71820000000,2014,윌비스,S
306,018470,71340000000,2014,조일알미늄,S
307,003960,70930842500,2014,사조대림,S
308,032560,70000000000,2014,황금에스티,S
309,010660,68860000000,2014,화천기계,S
310,014580,68130257000,2014,태경비케이,S
311,025560,67205870339,2014,미래산업,S
312,068290,67200000000,2014,삼성출판사,S
313,006570,65619750000,2014,대림통상,S
314,006890,64264000000,2014,태경케미컬,S
315,005420,62890363200,2014,코스모화학,S
316,001620,62149467200,2014,케이비아이동국실업,S
317,072130,62084611070,2014,유엔젤,S
318,008700,61776980820,2014,아남전자,S
319,000910,60885314100,2014,유니온,S
320,012280,60409172480,2014,영화금속,S
321,002600,60000000000,2014,조흥,S
322,011500,57857055400,2014,한농화성,S
323,000950,57792000000,2014,전방,S
324,007120,57579908360,2014,미래아이앤지,S
325,011930,57444676200,2014,신성이엔지,S
326,002070,57072622950,2014,비비안,S
327,023150,54896233440,2014,MH에탄올,S
328,071950,54473615970,2014,코아스,S
329,058730,53826750000,2014,다스코,S
330,004770,53316900000,2014,써니전자,S
331,001570,53126965800,2014,금양,S
332,023350,52395750000,2014,한국종합기술,S
333,001360,51578497425,2014,삼성제약,S
334,002710,50350000000,2014,TCC스틸,S
335,006340,50331199369,2014,대원전선,S
336,005960,50290363815,2014,동부건설,S
337,020120,48922576410,2014,키다리스튜디오,S
338,006740,48618000000,2014,영풍제지,S
339,002140,48382484500,2014,고려산업,S
340,005320,46961240000,2014,국동,S
341,051630,46920000000,2014,진양화학,S
342,009310,46674972630,2014,참엔지니어링,S
343,090080,46567785780,2014,평화산업,S
344,001550,46334210400,2014,조비,S
345,014130,46320000000,2014,한익스프레스,S
346,093230,46185938055,2014,이아이디,S
347,000220,45784622700,2014,유유제약,S
348,031820,45069824390,2014,콤텍시스템,S
349,004720,44346257640,2014,팜젠사이언스,S
350,023450,43516022000,2014,동남합성,S
351,026940,43400000000,2014,부국철강,S
352,027740,43200642000,2014,마니커,S
353,011690,43165052700,2014,와이투솔루션,S
354,017180,42987050000,2014,명문제약,S
355,010770,42706360720,2014,평화홀딩스,S
356,015260,42325856760,2014,에이엔피,S
357,003010,42206320040,2014,혜인,S
358,005070,42191129920,2014,코스모신소재,S
359,007610,42030000000,2014,선도전기,S
360,005110,41867185635,2014,한창,S
361,049800,41350000000,2014,우진플라임,S
362,004270,41281862400,2014,남성,S
363,005360,41136028720,2014,모나미,S
364,004140,40787923150,2014,동방,S
365,005820,39050000000,2014,원림,S
366,025820,38792720000,2014,이구산업,S
367,008420,38444071875,2014,문배철강,S
368,002410,38353996800,2014,범양건영,S
369,000760,38220000000,2014,이화산업,S
370,004830,38102400000,2014,덕성,S
371,011300,37696761180,2014,성안,S
372,017370,37217899095,2014,우신시스템,S
373,002720,37212120260,2014,국제약품,S
374,001470,36812360200,2014,삼부토건,S
375,003350,36210680000,2014,한국화장품제조,S
376,002760,35880100000,2014,보락,S
377,006090,35185200000,2014,사조오양,S
378,009190,34798162985,2014,대양금속,S
379,003680,34511091300,2014,한성기업,S
380,009460,34427540664,2014,한창제지,S
381,003780,33345000000,2014,진양산업,S
382,021050,33289762100,2014,서원,S
383,011420,32965672320,2014,갤럭시아에스엠,S
384,001070,32913000000,2014,대한방직,S
385,088790,32879766320,2014,진도,S
386,009470,32738409000,2014,삼화전기,S
387,006110,32120000000,2014,삼아알미늄,S
388,006200,31705996710,2014,한국전자홀딩스,S
389,071090,31699112400,2014,하이스틸,S
390,000520,30690000000,2014,삼일제약,S
391,030720,30528259680,2014,동원수산,S
392,013360,30386671160,2014,일성건설,S
393,002220,30192000000,2014,한일철강,S
394,009140,30159302400,2014,경인전자,S
395,010600,30042271480,2014,웰바이오텍,S
396,069460,29848322900,2014,대호에이엘,S
397,013700,28762002360,2014,까뮤이앤씨,S
398,025890,27142221600,2014,한국주강,S
399,007280,26950000000,2014,한국특강,S
400,002870,26603570700,2014,신풍,S
401,008500,26340000000,2014,일정실업,S
402,009810,25530469980,2014,플레이그램,S
403,019180,25200000000,2014,티에이치엔,S
404,013000,24756786725,2014,세우글로벌,S
405,001260,24069989340,2014,남광토건,S
406,011330,23329232256,2014,유니켐,S
407,005030,23157506000,2014,부산주공,S
408,011390,21964800000,2014,부산산업,S
409,030790,20824103930,2014,비케이탑스,S
410,007460,19026586775,2014,에이프로젠,S
411,014910,17980724520,2014,성문전자,S
412,001420,17860000000,2014,태원물산,S
413,023960,16995559940,2014,에쓰씨엔지니어링,S
414,010580,14410593600,2014,에스엠벡셀,S
415,004920,13615434000,2014,씨아이테크,S
416,074610,13531741784,2014,이엔플러스,S
417,001140,12944030400,2014,국보,S
418,002420,11901686400,2014,세기상사,S
