,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
87,42700,한미반도체,1119400000000.0,S,3.28,L
88,6650,대한유화,1114750000000.0,S,0.52,H
89,670,영풍,1114430000000.0,S,0.3,H
90,145720,덴티움,1106880000000.0,S,2.95,L
91,271940,일진하이솔루스,1083950000000.0,S,3.53,L
92,5850,에스엘,1065990000000.0,S,0.7,H
93,336370,솔루스첨단소재,1053340000000.0,S,4.08,L
94,9240,한샘,1049610000000.0,S,1.22,L
95,32350,롯데관광개발,1045210000000.0,S,17.82,L
96,20560,아시아나항공,1041760000000.0,S,2.07,L
97,89860,롯데렌탈,1012930000000.0,S,0.82,H
98,93370,후성,1009570000000.0,S,3.99,L
99,185750,종근당,984218000000.0,S,1.79,L
100,161890,한국콜마,974738000000.0,S,1.43,L
101,39130,하나투어,970371000000.0,S,9.72,L
102,1800,오리온홀딩스,961607000000.0,S,0.44,H
103,3230,삼양식품,956693000000.0,S,2.45,L
104,103140,풍산,943017000000.0,S,0.56,H
105,353200,대덕전자,933980000000.0,S,1.43,L
106,9420,한올바이오파마,929883000000.0,S,5.57,L
107,8730,율촌화학,903960000000.0,S,2.61,L
108,31430,신세계인터내셔날,883575000000.0,S,1.23,L
109,377740,바이오노트,874096000000.0,S,0.63,H
110,10780,아이에스동서,871171000000.0,S,0.69,H
111,248070,솔루엠,870097000000.0,S,3.24,L
112,192080,더블유게임즈,868195000000.0,S,0.95,H
113,23590,다우기술,861439000000.0,S,0.42,H
114,272450,진에어,858690000000.0,S,4.91,L
115,192820,코스맥스,840999000000.0,S,1.5,L
116,9970,영원무역홀딩스,837225000000.0,S,0.44,H
117,3240,태광산업,830596000000.0,S,0.16,H
118,214320,이노션,823000000000.0,S,1.0,L
119,300720,한일시멘트,806897000000.0,S,0.57,H
120,2840,미원상사,805100000000.0,S,2.78,L
121,5250,녹십자홀딩스,799480000000.0,S,0.75,H
122,73240,금호타이어,798584000000.0,S,0.68,H
123,249420,일동제약,765234000000.0,S,4.44,L
124,1680,대상,758792000000.0,S,0.64,H
125,9900,명신산업,752946000000.0,S,2.53,L
126,16380,KG스틸,739066000000.0,S,0.64,H
127,298040,효성중공업,727315000000.0,S,0.78,H
128,5420,코스모화학,719419000000.0,S,4.28,L
129,403550,쏘카,711783000000.0,S,4.15,L
130,5880,대한해운,694211000000.0,S,0.53,H
131,5690,파미셀,678192000000.0,S,10.37,L
132,20000,한섬,666242000000.0,S,0.48,H
133,13890,지누스,661524000000.0,S,1.22,L
134,284740,쿠쿠홈시스,659658000000.0,S,1.02,L
135,57050,현대홈쇼핑,646800000000.0,S,0.33,H
136,640,동아쏘시오홀딩스,644415000000.0,S,0.66,H
137,3850,보령,622331000000.0,S,1.26,L
138,3000,부광약품,621802000000.0,S,2.22,L
139,105630,한세실업,616000000000.0,S,1.3,L
140,64960,SNT모티브,614172000000.0,S,0.68,H
141,192650,드림텍,613390000000.0,S,1.73,L
142,195870,해성디에스,609450000000.0,S,2.07,L
