,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
526,72130,유엔젤,39718316540.0,S,0.69,H
527,7120,미래아이앤지,39037018720.0,S,0.51,H
528,10400,우진아이엔에스,38948420000.0,S,0.35,H
529,4920,씨아이테크,38202415188.0,S,0.73,H
530,9140,경인전자,38013287400.0,S,0.53,H
531,2070,비비안,37838367300.0,S,0.37,H
532,15020,이스타코,35138312000.0,S,0.63,H
533,88790,진도,32799805440.0,S,0.33,H
534,3680,한성기업,31916907100.0,S,0.65,H
535,14910,성문전자,30204628350.0,S,0.96,H
536,1420,태원물산,29602000000.0,S,0.91,H
537,25890,한국주강,28951703040.0,S,1.02,L
538,1210,금호전기,25349855720.0,S,0.6,H
539,25620,제이준코스메틱,23210302140.0,S,0.38,H
540,71950,코아스,22562263300.0,S,1.2,L
541,8500,일정실업,19680000000.0,S,1.04,L
542,30790,비케이탑스,19208323080.0,S,2.71,L
