종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"036580","대상사료","785","10","1.29","750","785","710","154850","118042700","13249416045","16878237"
"036585","대상사료(1우B)","805","-40","-4.73","770","845","770","8040","6542700","903019215","1121763"
"004110","대선주조","1250","40","3.31","1300","1300","1250","14240","18342500","3478750000","2783000"
"005620","대성산업","17600","600","3.53","17200","17600","16700","18070","309129500","90325136000","5132110"
"003050","대성전선","1735","-35","-1.98","1800","1850","1720","340830","601681550","34700000000","20000000"
"003540","대신증권","6000","-100","-1.64","5510","6090","5400","2980010","16931701800","292718400000","48786400"
"003545","대신증권(1우)","2790","-130","-4.45","2800","2890","2570","1615800","4385441150","72540000000","26000000"
"009940","대아리드선","4710","-90","-1.88","4700","4850","4650","12290","58031100","7536000000","1600000"
"013250","대양금고","2275","-400","-14.95","2275","2275","2275","14690","33419750","15925000000","7000000"
"009190","대양금속","590","35","6.31","565","635","560","960390","570473400","16096380000","27282000"
"014160","대영포장","745","-55","-6.88","810","810","745","292930","223637650","6036299920","8102416"
"003810","대우","190","0","0.00","0","0","0","0","0","54919135390","289048081"
"007410","대우전자","355","30","9.23","345","365","330","2586260","895869500","30110875640","84819368"
"009320","대우전자부품","1850","240","14.91","1690","1850","1690","124580","227215750","17166958450","9279437"
"000200","대우중공업","720","0","0.00","0","0","0","0","0","257321337120","357390746"
"000205","대우중공업(1우)","710","0","0.00","0","0","0","0","0","7274100520","10245212"
"006800","대우증권","5100","-30","-0.58","5230","5300","5060","1689420","8713185200","787380284100","154388291"
"006805","대우증권(1우)","2735","15","0.55","2850","2850","2710","176120","486087650","38497176250","14075750"
"004550","대우차판매","885","95","12.03","825","885","800","1448110","1224088350","25912800000","29280000"
"004555","대우차판매(1우)","845","-5","-0.59","725","900","725","23670","19495850","845000000","1000000"
"005060","대우통신","960","-30","-3.03","960","1010","935","88860","86108800","31297871040","32601949"
"003090","대웅제약","8030","-230","-2.78","8160","8340","8000","136490","1110019800","88332810500","11000350"
"000430","대원강업","2935","35","1.21","2910","3100","2800","42990","128077350","17610000000","6000000"
"006340","대원전선","3165","55","1.77","3010","3290","3010","71100","225975450","16595107800","5243320"
"006345","대원전선(1우)","5360","-940","-14.92","5410","5920","5360","24300","132755300","1404963200","262120"
"006347","대원전선(2우B)","25800","-4500","-14.85","29950","31600","25800","4540","127951000","1149648000","44560"
"003220","대원제약","18100","-3150","-14.82","20100","20600","18100","95530","1815153000","15566000000","860000"
"003190","대원제지","12000","-1000","-7.69","13000","13000","12000","17700","218255000","23976492000","1998041"
"024890","대원화성","8100","-380","-4.48","8500","8500","7810","22760","182255500","20678733000","2552930"
"001190","대유","500","60","13.64","430","500","430","534590","253620400","16683221000","33366442"
"003110","대일화학","6840","-1200","-14.93","7510","7510","6840","13570","95169200","4240800000","620000"
"012800","대창공업","3980","480","13.71","3595","3980","3520","48130","177219800","29626658320","7443884"
"012805","대창공업(1우)","224500","0","0.00","0","0","0","0","0","48043000","214"
"015230","대창단조","4340","120","2.84","4220","4450","4220","3160","13759700","8680000000","2000000"
"026870","대한가스","11350","500","4.61","10900","11350","10900","28280","313498000","110095000000","9700000"
"001070","대한방직","29500","-5200","-14.99","29500","32900","29500","308000","9268627500","31270000000","1060000"
"009050","대한알미늄","2900","-80","-2.68","2905","3200","2900","286630","865650100","376753302800","129914932"
"006650","대한유화","9900","0","0.00","9570","10000","9500","21130","208694800","81180000000","8200000"
"007480","대한은박지","9160","130","1.44","9050","9450","9020","11700","106679600","9160000000","1000000"
"003690","대한재보험","6480","280","4.52","6300","6480","6080","50300","316554100","66361122720","10240914"
"001440","대한전선","6950","240","3.58","6770","6950","6770","101390","698774100","111200000000","16000000"
"001790","대한제당","11350","400","3.65","10850","11350","10800","13150","145192500","35663266300","3142138"
"001795","대한제당(1우)","6840","10","0.15","6900","7240","6810","13040","89404400","1847586600","270115"
"001797","대한제당(2우B)","26400","0","0.00","26400","26400","26400","20","528000","732520800","27747"
"001130","대한제분","33700","-800","-2.32","33250","34500","33250","1910","65088500","56953000000","1690000"
"000120","대한통운","1800","0","0.00","1835","1900","1780","1073570","1968077750","61920000000","34400000"
"004540","대한펄프","4230","-270","-6.00","4450","4510","4230","5340","23138000","6073696260","1435862"
"004545","대한펄프(1우)","2100","50","2.44","2070","2100","2020","3860","7934600","1922340000","915400"
"003490","대한항공","6900","-50","-0.72","7030","7050","6900","421430","2944907000","454280095500","65837695"
"003495","대한항공(1우)","4100","-100","-2.38","4200","4200","3900","3430","13513250","5654625700","1379177"
"003497","대한항공(2우B)","6600","350","5.60","6400","6600","6300","6880","43846600","2275647000","344795"
"005880","대한해운","3150","5","0.16","3150","3240","3050","108700","339331450","31500000000","10000000"
"003830","대한화섬","17600","-800","-4.35","18050","18700","17300","11330","201676500","23372800000","1328000"
"000400","대한화재","3350","400","13.56","2930","3350","2900","29940","91318500","16457786200","4912772"
"016090","대현","3300","100","3.13","3135","3300","2955","107780","335508700","13829491500","4190755"
"001980","대호","2200","-260","-10.57","2400","2460","2110","539670","1222542200","28290523800","12859329"
"004830","덕성","2955","385","14.98","2500","2955","2500","375690","1063289400","45511728000","15401600"
"004835","덕성(1우)","1265","50","4.12","1230","1370","1175","85890","110736650","1760880000","1392000"
"004837","덕성(2우B)","3500","5","0.14","3250","3850","3150","21250","77679400","974400000","278400"
"024900","덕양산업","25650","-450","-1.72","26100","26200","25550","26510","685479000","83529173700","3256498"
"015940","데이콤","30450","1150","3.92","30900","31700","29300","378650","11427514000","729064350000","23943000"
"004420","동국무역","1890","25","1.34","1870","2090","1870","8330","15781750","21233473380","11234642"
"001620","동국실업","12000","-2000","-14.29","14300","14650","12000","85710","1179670000","27919056000","2326588"
"001230","동국제강","2360","-135","-5.41","2490","2490","2360","121500","292453750","181439160000","76881000"
"023450","동남합성","8760","-240","-2.67","8710","9300","8710","24510","215990600","8267679240","943799"
"004140","동방","2185","-115","-5.00","2220","2395","2150","22770","49959350","8128200000","3720000"
"007590","동방아그로","2640","120","4.76","2520","2640","2450","50860","129740150","30597256800","11589870"
"007595","동방아그로(1우)","162500","-27500","-14.47","162500","162500","162500","20","3250000","40625000","250"
"005960","동부건설","2550","170","7.14","2395","2550","2395","103830","258031800","55565379750","21790345"
"005965","동부건설(1우)","2050","80","4.06","1980","2075","1980","37520","75336750","6851848250","3342365"
"012030","동부정밀","5890","280","4.99","5600","5890","5600","20110","116857600","23560000000","4000000"
"016380","동부제강","2390","70","3.02","2360","2420","2335","150680","357123250","54267884920","22706228"
"016385","동부제강(1우)","2000","150","8.11","1870","2000","1870","92830","177458850","5130700000","2565350"
