종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"013580","계룡건설","18200","150","0.83","17601","1.03",,,"78914","0.23","800","4.40"
"012200","계양전기","3170","-90","-2.76",,,,,"5389","0.59","35","1.10"
"012205","계양전기우","5200","-80","-1.52",,,,,,,"40","0.77"
"002140","고려산업","3470","-95","-2.66","183","18.96",,,"4323","0.80","40","1.15"
"198440","고려시멘트","2380","-70","-2.86","145","16.41",,,"3663","0.65","15","0.63"
"049720","고려신용정보","10800","0","0.00","708","15.25",,,"2380","4.54","300","2.78"
"010130","고려아연","564000","-11000","-1.91","45648","12.36","39694","14.21","430439","1.31","20000","3.55"
"002240","고려제강","19500","-500","-2.50","5193","3.76",,,"61131","0.32","300","1.54"
"014570","고려제약","7830","-60","-0.76","828","9.46",,,"7112","1.10","170","2.17"
"348150","고바이오랩","11050","-200","-1.78",,,,,"5026","2.20","0","0.00"
"098460","고영","12750","-200","-1.54","586","21.76","731","17.44","4148","3.07","120","0.94"
"035290","골드앤에스","5380","50","0.94","21","256.19",,,"419","12.84","0","0.00"
"038530","골드퍼시픽","402","-18","-4.29",,,,,"758","0.53","0","0.00"
"215000","골프존","112800","-3800","-3.26","12167","9.27","22272","5.06","45891","2.46","3500","3.10"
"121440","골프존뉴딘홀딩스","4600","-220","-4.56","3152","1.46",,,"14014","0.33","140","3.04"
"366030","공구우먼","11900","-1750","-12.82","581","20.48",,,"1797","6.62","2400","20.17"
"009290","광동제약","5960","-80","-1.32","585","10.19",,,"12151","0.49","100","1.68"
"014200","광림","1005","-15","-1.47",,,,,"1593","0.63","0","0.00"
"017040","광명전기","2085","-85","-3.92","134","15.56",,,"2486","0.84","10","0.48"
"029480","광무","3120","-50","-1.58",,,,,"2230","1.40","0","0.00"
"017900","광전자","2185","-20","-0.91","219","9.98",,,"4165","0.52","50","2.29"
"037710","광주신세계","32000","-300","-0.93","6584","4.86",,,"93727","0.34","1700","5.31"
"026910","광진실업","4830","-40","-0.82","181","26.69",,,"4054","1.19","0","0.00"
"355150","교보10호스팩","2170","-75","-3.34",,,,,,,"0","0.00"
"397880","교보11호스팩","2020","0","0.00",,,,,,,"0","0.00"
"421800","교보12호스팩","2025","10","0.50",,,,,,,"0","0.00"
"440790","교보13호스팩","1995","-10","-0.50",,,,,,,"0","0.00"
"030610","교보증권","5260","-100","-1.87","2255","2.33",,,"21947","0.24","500","9.51"
"339770","교촌에프앤비","9200","-290","-3.06","1195","7.70","957","9.62","7197","1.28","300","3.26"
"053270","구영테크","2230","-60","-2.62","127","17.56",,,"3091","0.72","30","1.35"
"007690","국도화학","42750","-1300","-2.95","21321","2.01",,,"92708","0.46","2200","5.15"
"005320","국동","1085","-55","-4.82",,,,,"1901","0.57","0","0.00"
"001140","국보","728","-55","-7.02",,,,,"477","1.53","0","0.00"
"066620","국보디자인","16300","-400","-2.40","2843","5.73",,,"33094","0.49","340","2.09"
"043650","국순당","6720","-190","-2.75","1369","4.91",,,"15298","0.44","260","3.87"
"006050","국영지앤엠","1490","-80","-5.10",,,,,"1362","1.09","0","0.00"
"060480","국일신동","2525","-135","-5.08","78","32.37",,,"4285","0.59","50","1.98"
"078130","국일제지","2220","-115","-4.93",,,,,"531","4.18","0","0.00"
"307750","국전약품","6620","60","0.91","91","72.75",,,"1695","3.91","10","0.15"
"002720","국제약품","5500","-240","-4.18",,,,,"3565","1.54","0","0.00"
"035080","그래디언트","14950","-1050","-6.56",,,,,"18460","0.81","250","1.67"
"204020","그리티","2990","-35","-1.16",,,,,"3334","0.90","0","0.00"
"083420","그린케미칼","9570","-330","-3.33","683","14.01",,,"5290","1.81","220","2.30"
"186230","그린플러스","10300","-300","-2.83",,,"523","19.69","5128","2.01","0","0.00"
"014530","극동유화","3630","-165","-4.35","339","10.71",,,"5350","0.68","160","4.41"
"204620","글로벌텍스프리","3060","-85","-2.70",,,,,"1571","1.95","0","0.00"
"019660","글로본","1785","-5","-0.28",,,,,"530","3.37","0","0.00"
"014280","금강공업","6190","-330","-5.06","762","8.12",,,"11309","0.55","100","1.62"
"014285","금강공업우","11950","250","2.14",,,,,,,"110","0.92"
